no,nilai,jual,beli,tanggal
775,1,14210,14068,11/16/2020 
776,1,14293,14151,11/13/2020 
777,1,14258,14116,11/12/2020 
778,1,14146,14006,11/11/2020 
779,1,14085,13945,11/10/2020 
780,1,14243,14101,11/9/2020 
781,1,14393,14249,11/6/2020 
782,1,14511,14367,11/5/2020 
783,1,14630,14484,11/4/2020 
784,1,14682,14536,11/3/2020 
785,1,14792,14644,11/2/2020 
786,1,14763,14617,10/30/2020 
787,1,14763,14617,10/29/2020 
788,1,14763,14617,10/28/2020 
789,1,14763,14617,10/27/2020 
790,1,14770,14624,10/26/2020 
791,1,14812,14664,10/23/2020 
792,1,14770,14624,10/22/2020 
793,1,14731,14585,10/21/2020 
794,1,14803,14655,10/20/2020 
795,1,14815,14667,10/19/2020 
796,1,14840,14692,10/16/2020 
797,1,14834,14686,10/15/2020 
798,1,14854,14706,10/14/2020 
799,1,14867,14719,10/13/2020 
800,1,14820,14672,10/12/2020 
801,1,14811,14663,10/9/2020 
802,1,14824,14676,10/8/2020 
803,1,14858,14710,10/7/2020 
804,1,14786,14638,10/6/2020 
805,1,14941,14793,10/5/2020 
806,1,14964,14816,10/2/2020 
807,1,14950,14802,10/1/2020 
808,1,14993,14843,9/30/2020 
809,1,14995,14845,9/29/2020 
810,1,15034,14884,9/28/2020 
811,1,15026,14876,9/25/2020 
812,1,15024,14874,9/24/2020 
813,1,14909,14761,9/23/2020 
814,1,14856,14708,9/22/2020 
815,1,14797,14649,9/21/2020 
816,1,14842,14694,9/18/2020 
817,1,14952,14804,9/17/2020 
818,1,14918,14770,9/16/2020 
819,1,14944,14796,9/15/2020 
820,1,15049,14899,9/14/2020 
821,1,15054,14904,9/11/2020 
822,1,14945,14797,9/10/2020 
823,1,14927,14779,9/9/2020 
824,1,14872,14724,9/8/2020 
825,1,14828,14680,9/7/2020 
826,1,14866,14718,9/4/2020 
827,1,14892,14744,9/3/2020 
828,1,14878,14730,9/2/2020 
829,1,14688,14542,9/1/2020 
830,1,14627,14481,8/31/2020 
831,1,14776,14628,8/28/2020 
832,1,14788,14640,8/27/2020 
833,1,14709,14563,8/26/2020 
834,1,14705,14559,8/25/2020 
835,1,14868,14720,8/24/2020 
836,1,14860,14712,8/19/2020 
837,1,14982,14832,8/18/2020 
838,1,14992,14842,8/14/2020 
839,1,14951,14803,8/13/2020 
840,1,14851,14703,8/12/2020 
841,1,14802,14654,8/11/2020 
842,1,14824,14676,8/10/2020 
843,1,14720,14574,8/7/2020 
844,1,14660,14514,8/6/2020 
845,1,14696,14550,8/5/2020 
846,1,14770,14624,8/4/2020 
847,1,14787,14639,8/3/2020 
848,1,14726,14580,7/30/2020 
849,1,14643,14497,7/29/2020 
850,1,14616,14470,7/28/2020 
851,1,14678,14532,7/27/2020 
852,1,14687,14541,7/24/2020 
853,1,14742,14596,7/23/2020 
854,1,14728,14582,7/22/2020 
855,1,14887,14739,7/21/2020 
856,1,14906,14758,7/20/2020 
857,1,14854,14706,7/17/2020 
858,1,14705,14559,7/16/2020 
859,1,14689,14543,7/15/2020 
860,1,14585,14439,7/14/2020 
861,1,14558,14414,7/13/2020 
862,1,14574,14429,7/10/2020 
863,1,14518,14374,7/9/2020 
864,1,14532,14388,7/8/2020 
865,1,14528,14384,7/7/2020 
866,1,14620,14474,7/6/2020 
867,1,14639,14493,7/3/2020 
868,1,14589,14443,7/2/2020 
869,1,14413,14269,7/1/2020 
870,1,14374,14230,6/30/2020 
871,1,14441,14297,6/29/2020 
872,1,14310,14168,6/26/2020 
873,1,14302,14160,6/25/2020 
874,1,14231,14089,6/24/2020 
875,1,14336,14194,6/23/2020 
876,1,14280,14138,6/22/2020 
877,1,14313,14171,6/19/2020 
878,1,14257,14115,6/18/2020 
879,1,14305,14163,6/17/2020 
880,1,14226,14084,6/16/2020 
881,1,14299,14157,6/15/2020 
882,1,14328,14186,6/12/2020 
883,1,14084,13944,6/11/2020 
884,1,14153,14013,6/10/2020 
885,1,14043,13903,6/9/2020 
886,1,14026,13886,6/8/2020 
887,1,14171,14030,6/5/2020 
888,1,14236,14094,6/4/2020 
889,1,14316,14174,6/3/2020 
890,1,14575,14429,6/2/2020 
891,1,14807,14659,5/29/2020 
892,1,14843,14695,5/28/2020 
893,1,14835,14687,5/27/2020 
894,1,14848,14700,5/26/2020 
895,1,14859,14711,5/20/2020 
896,1,14897,14749,5/19/2020 
897,1,14959,14811,5/18/2020 
898,1,14984,14834,5/15/2020 
899,1,15021,14871,5/14/2020 
900,1,14961,14813,5/13/2020 
901,1,15053,14903,5/12/2020 
902,1,15011,14861,5/11/2020 
903,1,15084,14934,5/8/2020 
904,1,15203,15051,5/6/2020 
905,1,15180,15028,5/5/2020 
906,1,15148,14998,5/4/2020 
907,1,15233,15081,4/30/2020 
908,1,15492,15338,4/29/2020 
909,1,15565,15411,4/28/2020 
910,1,15669,15513,4/27/2020 
911,1,15631,15475,4/24/2020 
912,1,15708,15552,4/23/2020 
913,1,15645,15489,4/22/2020 
914,1,15721,15565,4/21/2020 
915,1,15621,15465,4/20/2020 
916,1,15581,15425,4/17/2020 
917,1,15866,15708,4/16/2020 
918,1,15786,15628,4/15/2020 
919,1,15801,15643,4/14/2020 
920,1,15919,15761,4/13/2020 
921,1,16322,16160,4/9/2020 
922,1,16326,16164,4/8/2020 
923,1,16492,16328,4/7/2020 
924,1,16639,16473,4/6/2020 
925,1,16546,16382,4/3/2020 
926,1,16825,16657,4/2/2020 
927,1,16495,16331,4/1/2020 
928,1,16449,16285,3/31/2020 
929,1,16418,16254,3/30/2020 
930,1,16311,16149,3/27/2020 
931,1,16410,16246,3/26/2020 
932,1,16568,16404,3/24/2020 
933,1,16691,16525,3/23/2020 
934,1,16354,16192,3/20/2020 
935,1,15791,15633,3/19/2020 
936,1,15299,15147,3/18/2020 
937,1,15158,15008,3/17/2020 
938,1,14892,14744,3/16/2020 
939,1,14889,14741,3/13/2020 
940,1,14562,14418,3/12/2020 
941,1,14395,14251,3/11/2020 
942,1,14483,14339,3/10/2020 
943,1,14414,14270,3/9/2020 
944,1,14338,14196,3/6/2020 
945,1,14239,14097,3/5/2020 
946,1,14242,14100,3/4/2020 
947,1,14293,14151,3/3/2020 
948,1,14485,14341,3/2/2020 
949,1,14305,14163,2/28/2020 
950,1,14088,13948,2/27/2020 
951,1,14036,13896,2/26/2020 
952,1,13962,13824,2/25/2020 
953,1,13932,13794,2/24/2020 
954,1,13846,13708,2/21/2020 
955,1,13804,13666,2/20/2020 
956,1,13786,13648,2/19/2020 
957,1,13744,13608,2/18/2020 
958,1,13761,13625,2/17/2020 
959,1,13776,13638,2/14/2020 
960,1,13747,13611,2/13/2020 
961,1,13727,13591,2/12/2020 
962,1,13754,13618,2/11/2020 
963,1,13777,13639,2/10/2020 
964,1,13715,13579,2/7/2020 
965,1,13730,13594,2/6/2020 
966,1,13786,13648,2/5/2020 
967,1,13829,13691,2/4/2020 
968,1,13795,13657,2/3/2020 
969,1,13730,13594,1/31/2020 
970,1,13720,13584,1/30/2020 
971,1,13702,13566,1/29/2020 
972,1,13715,13579,1/28/2020 
973,1,13680,13544,1/27/2020 
974,1,13700,13564,1/24/2020 
975,1,13694,13558,1/23/2020 
976,1,13746,13610,1/22/2020 
977,1,13726,13590,1/21/2020 
978,1,13722,13586,1/20/2020 
979,1,13716,13580,1/17/2020 
980,1,13726,13590,1/16/2020 
981,1,13775,13637,1/15/2020 
982,1,13722,13586,1/14/2020 
983,1,13777,13639,1/13/2020 
984,1,13881,13743,1/10/2020 
985,1,13929,13791,1/9/2020 
986,1,14004,13864,1/8/2020 
987,1,13989,13849,1/7/2020 
988,1,14031,13891,1/6/2020 
989,1,13969,13830,1/3/2020 
990,1,13964,13826,1/2/2020 
991,1,13971,13832,12/31/2019 
992,1,14015,13875,12/30/2019 
993,1,14026,13886,12/27/2019 
994,1,14052,13912,12/26/2019 
995,1,14048,13908,12/23/2019 
996,1,14063,13923,12/20/2019 
997,1,14053,13913,12/19/2019 
998,1,14077,13937,12/18/2019 
999,1,14088,13948,12/17/2019 
1000,1,14074,13934,12/16/2019 
1001,1,14052,13912,12/13/2019 
1002,1,14112,13972,12/12/2019 
1003,1,14095,13955,12/11/2019 
1004,1,14074,13934,12/10/2019 
1005,1,14091,13951,12/9/2019 
1006,1,14107,13967,12/6/2019 
1007,1,14164,14024,12/5/2019 
1008,1,14196,14054,12/4/2019 
1009,1,14201,14059,12/3/2019 
1010,1,14193,14051,12/2/2019 
1011,1,14173,14031,11/29/2019 
1012,1,14170,14029,11/28/2019 
1013,1,14166,14026,11/27/2019 
1014,1,14151,14011,11/26/2019 
1015,1,14161,14021,11/25/2019 
1016,1,14171,14030,11/22/2019 
1017,1,14183,14041,11/21/2019 
1018,1,14167,14027,11/20/2019 
1019,1,14161,14021,11/19/2019 
1020,1,14145,14005,11/18/2019 
1021,1,14139,13999,11/15/2019 
1022,1,14168,14028,11/14/2019 
1023,1,14152,14012,11/13/2019 
1024,1,14129,13989,11/12/2019 
1025,1,14110,13970,11/11/2019 
1026,1,14090,13950,11/8/2019 
1027,1,14110,13970,11/7/2019 
1028,1,14062,13922,11/6/2019 
1029,1,14101,13961,11/5/2019 
1030,1,14072,13932,11/4/2019 
1031,1,14136,13996,11/1/2019 
1032,1,14078,13938,10/31/2019 
1033,1,14114,13974,10/30/2019 
1034,1,14098,13958,10/29/2019 
1035,1,14093,13953,10/28/2019 
1036,1,14134,13994,10/25/2019 
1037,1,14066,13926,10/24/2019 
1038,1,14121,13981,10/23/2019 
1039,1,14128,13988,10/22/2019 
1040,1,14203,14061,10/21/2019 
1041,1,14211,14069,10/18/2019 
1042,1,14243,14101,10/17/2019 
1043,1,14258,14116,10/16/2019 
1044,1,14211,14069,10/15/2019 
1045,1,14197,14055,10/14/2019 
1046,1,14210,14068,10/11/2019 
1047,1,14228,14086,10/10/2019 
1048,1,14253,14111,10/9/2019 
1049,1,14241,14099,10/8/2019 
1050,1,14227,14085,10/7/2019 
1051,1,14206,14064,10/4/2019 
1052,1,14264,14122,10/3/2019 
1053,1,14278,14136,10/2/2019 
1054,1,14267,14125,10/1/2019 
1055,1,14245,14103,9/30/2019 
1056,1,14268,14126,9/27/2019 
1057,1,14233,14091,9/26/2019 
1058,1,14205,14063,9/25/2019 
1059,1,14169,14029,9/24/2019 
1060,1,14147,14007,9/23/2019 
1061,1,14155,14015,9/20/2019 
1062,1,14169,14029,9/19/2019 
1063,1,14150,14010,9/18/2019 
1064,1,14171,14029,9/17/2019 
1065,1,14090,13950,9/16/2019 
1066,1,14020,13880,9/13/2019 
1067,1,14122,13982,9/12/2019 
1068,1,14133,13993,9/11/2019 
1069,1,14101,13961,9/10/2019 
1070,1,14162,14022,9/9/2019 
1071,1,14211,14069,9/6/2019 
1072,1,14224,14082,9/5/2019 
1073,1,14289,14147,9/4/2019 
1074,1,14288,14146,9/3/2019 
1075,1,14261,14119,9/2/2019 
1076,1,14308,14166,8/30/2019 
1077,1,14325,14183,8/29/2019 
1078,1,14334,14192,8/28/2019 
1079,1,14306,14164,8/27/2019 
1080,1,14332,14190,8/26/2019 
1081,1,14320,14178,8/23/2019 
1082,1,14305,14163,8/22/2019 
1083,1,14330,14188,8/21/2019 
1084,1,14333,14191,8/20/2019 
1085,1,14274,14132,8/19/2019 
1086,1,14329,14187,8/16/2019 
1087,1,14367,14225,8/15/2019 
1088,1,14305,14163,8/14/2019 
1089,1,14354,14212,8/13/2019 
1090,1,14291,14149,8/12/2019 
1091,1,14266,14124,8/9/2019 
1092,1,14302,14160,8/8/2019 
1093,1,14346,14204,8/7/2019 
1094,1,14416,14272,8/6/2019 
1095,1,14302,14160,8/5/2019 
1096,1,14274,14132,8/2/2019 
1097,1,14168,14028,8/1/2019 
1098,1,14096,13956,7/31/2019 
1099,1,14104,13964,7/30/2019 
1100,1,14080,13940,7/29/2019 
1101,1,14071,13931,7/26/2019 
1102,1,14056,13916,7/25/2019 
1103,1,14081,13941,7/24/2019 
1104,1,14043,13903,7/23/2019 
1105,1,14033,13893,7/22/2019 
1106,1,13983,13843,7/19/2019 
1107,1,14046,13906,7/18/2019 
1108,1,14019,13879,7/17/2019 
1109,1,13995,13855,7/16/2019 
1110,1,14040,13900,7/15/2019 
1111,1,14155,14015,7/12/2019 
1112,1,14159,14019,7/11/2019 
1113,1,14223,14081,7/10/2019 
1114,1,14200,14058,7/9/2019 
1115,1,14218,14076,7/8/2019 
1116,1,14219,14077,7/5/2019 
1117,1,14177,14035,7/4/2019 
1118,1,14231,14089,7/3/2019 
1119,1,14211,14069,7/2/2019 
1120,1,14188,14046,7/1/2019 
1121,1,14212,14070,6/28/2019 
1122,1,14251,14109,6/27/2019 
1123,1,14245,14103,6/26/2019 
1124,1,14209,14067,6/25/2019 
1125,1,14236,14094,6/24/2019 
1126,1,14187,14045,6/21/2019 
1127,1,14307,14165,6/20/2019 
1128,1,14342,14200,6/19/2019 
1129,1,14406,14262,6/18/2019 
1130,1,14418,14274,6/17/2019 
1131,1,14376,14232,6/14/2019 
1132,1,14341,14199,6/13/2019 
1133,1,14305,14163,6/12/2019 
1134,1,14329,14187,6/11/2019 
1135,1,14302,14160,6/10/2019 
1136,1,14457,14313,5/31/2019 
1137,1,14489,14345,5/29/2019 
1138,1,14452,14308,5/28/2019 
1139,1,14432,14288,5/27/2019 
1140,1,14523,14379,5/24/2019 
1141,1,14586,14440,5/23/2019 
1142,1,14560,14416,5/22/2019 
1143,1,14534,14390,5/21/2019 
1144,1,14550,14406,5/20/2019 
1145,1,14541,14397,5/17/2019 
1146,1,14530,14386,5/16/2019 
1147,1,14520,14376,5/15/2019 
1148,1,14516,14372,5/14/2019 
1149,1,14434,14290,5/13/2019 
1150,1,14419,14275,5/10/2019 
1151,1,14410,14266,5/9/2019 
1152,1,14377,14233,5/8/2019 
1153,1,14381,14237,5/7/2019 
1154,1,14380,14236,5/6/2019 
1155,1,14353,14211,5/3/2019 
1156,1,14316,14174,5/2/2019 
1157,1,14286,14144,4/30/2019 
1158,1,14259,14117,4/29/2019 
1159,1,14259,14117,4/26/2019 
1160,1,14225,14083,4/25/2019 
1161,1,14183,14041,4/24/2019 
1162,1,14150,14010,4/23/2019 
1163,1,14126,13986,4/22/2019 
1164,1,14086,13946,4/18/2019 
1165,1,14136,13996,4/16/2019 
1166,1,14137,13997,4/15/2019 
1167,1,14224,14082,4/12/2019 
1168,1,14227,14085,4/11/2019 
1169,1,14226,14084,4/10/2019 
1170,1,14221,14079,4/9/2019 
1171,1,14216,14074,4/8/2019 
1172,1,14229,14087,4/5/2019 
1173,1,14253,14111,4/4/2019 
1174,1,14308,14166,4/2/2019 
1175,1,14302,14160,4/1/2019 
1176,1,14315,14173,3/29/2019 
1177,1,14326,14184,3/28/2019 
1178,1,14273,14131,3/27/2019 
1179,1,14242,14100,3/26/2019 
1180,1,14294,14152,3/25/2019 
1181,1,14228,14086,3/22/2019 
1182,1,14173,14031,3/21/2019 
1183,1,14302,14160,3/20/2019 
1184,1,14299,14157,3/19/2019 
1185,1,14313,14171,3/18/2019 
1186,1,14382,14238,3/15/2019 
1187,1,14324,14182,3/14/2019 
1188,1,14340,14198,3/13/2019 
1189,1,14322,14180,3/12/2019 
1190,1,14396,14252,3/11/2019 
1191,1,14294,14152,3/8/2019 
1192,1,14200,14058,3/6/2019 
1193,1,14217,14075,3/5/2019 
1194,1,14220,14078,3/4/2019 
1195,1,14182,14040,3/1/2019 
1196,1,14132,13992,2/28/2019 
1197,1,14074,13934,2/27/2019 
1198,1,14060,13920,2/26/2019 
1199,1,14077,13937,2/25/2019 
1200,1,14149,14009,2/22/2019 
1201,1,14127,13987,2/21/2019 
1202,1,14125,13985,2/20/2019 
1203,1,14190,14048,2/19/2019 
1204,1,14177,14035,2/18/2019 
1205,1,14187,14045,2/15/2019 
1206,1,14163,14023,2/14/2019 
1207,1,14097,13957,2/13/2019 
1208,1,14158,14018,2/12/2019 
1209,1,14065,13925,2/11/2019 
1210,1,14062,13922,2/8/2019 
1211,1,14048,13908,2/7/2019 
1212,1,14017,13877,2/6/2019 
1213,1,14046,13906,2/4/2019 
1214,1,14048,13908,2/1/2019 
1215,1,14142,14002,1/31/2019 
1216,1,14183,14041,1/30/2019 
1217,1,14168,14028,1/29/2019 
1218,1,14108,13968,1/28/2019 
1219,1,14234,14092,1/25/2019 
1220,1,14212,14070,1/24/2019 
1221,1,14259,14117,1/23/2019 
1222,1,14292,14150,1/22/2019 
1223,1,14283,14141,1/21/2019 
1224,1,14253,14111,1/18/2019 
1225,1,14229,14087,1/17/2019 
1226,1,14225,14083,1/16/2019 
1227,1,14154,14014,1/15/2019 
1228,1,14122,13982,1/14/2019 
1229,1,14146,14006,1/11/2019 
1230,1,14163,14023,1/10/2019 
1231,1,14191,14049,1/9/2019 
1232,1,14101,13961,1/8/2019 
1233,1,14176,14034,1/7/2019 
1234,1,14422,14278,1/4/2019 
1235,1,14546,14402,1/3/2019 
1236,1,14537,14393,1/2/2019 
1237,1,14553,14409,12/31/2018 
1238,1,14615,14469,12/28/2018 
1239,1,14636,14490,12/27/2018 
1240,1,14675,14529,12/26/2018 
1241,1,14552,14408,12/21/2018 
1242,1,14571,14427,12/20/2018 
1243,1,14452,14308,12/19/2018 
1244,1,14596,14450,12/18/2018 
1245,1,14690,14544,12/17/2018 
1246,1,14611,14465,12/14/2018 
1247,1,14609,14463,12/13/2018 
1248,1,14650,14504,12/12/2018 
1249,1,14686,14540,12/11/2018 
1250,1,14590,14444,12/10/2018 
1251,1,14612,14466,12/7/2018 
1252,1,14580,14434,12/6/2018 
1253,1,14455,14311,12/5/2018 
1254,1,14364,14222,12/4/2018 
1255,1,14323,14181,12/3/2018 
1256,1,14411,14267,11/30/2018 
1257,1,14480,14336,11/29/2018 
1258,1,14608,14462,11/28/2018 
1259,1,14577,14431,11/27/2018 
1260,1,14624,14478,11/26/2018 
1261,1,14625,14479,11/23/2018 
1262,1,14665,14519,11/22/2018 
1263,1,14691,14545,11/21/2018 
1264,1,14659,14513,11/19/2018 
1265,1,14667,14521,11/16/2018 
1266,1,14838,14690,11/15/2018 
1267,1,14829,14681,11/14/2018 
1268,1,14969,14821,11/13/2018 
1269,1,14821,14673,11/12/2018 
1270,1,14705,14559,11/9/2018 
1271,1,14724,14578,11/8/2018 
1272,1,14838,14690,11/7/2018 
1273,1,14965,14817,11/6/2018 
1274,1,15047,14897,11/5/2018 
1275,1,15164,15014,11/2/2018 
1276,1,15271,15119,11/1/2018 
1277,1,15303,15151,10/31/2018 
1278,1,15313,15161,10/30/2018 
1279,1,15294,15142,10/29/2018 
1280,1,15283,15131,10/26/2018 
1281,1,15286,15134,10/25/2018 
1282,1,15269,15117,10/24/2018 
1283,1,15284,15132,10/23/2018 
1284,1,15268,15116,10/22/2018 
1285,1,15297,15145,10/19/2018 
1286,1,15263,15111,10/18/2018 
1287,1,15254,15102,10/17/2018 
1288,1,15282,15130,10/16/2018 
1289,1,15322,15170,10/15/2018 
1290,1,15270,15118,10/12/2018 
1291,1,15329,15177,10/11/2018 
1292,1,15291,15139,10/10/2018 
1293,1,15309,15157,10/9/2018 
1294,1,15269,15117,10/8/2018 
1295,1,15258,15106,10/5/2018 
1296,1,15209,15057,10/4/2018 
1297,1,15163,15013,10/3/2018 
1298,1,15063,14913,10/2/2018 
1299,1,14980,14830,10/1/2018 
1300,1,15004,14854,9/28/2018 
1301,1,14994,14844,9/27/2018 
1302,1,15013,14863,9/26/2018 
1303,1,14967,14819,9/25/2018 
1304,1,14939,14791,9/24/2018 
1305,1,14898,14750,9/21/2018 
1306,1,14913,14765,9/20/2018 
1307,1,14970,14822,9/19/2018 
1308,1,14983,14833,9/18/2018 
1309,1,14933,14785,9/17/2018 
1310,1,14909,14761,9/14/2018 
1311,1,14868,14720,9/13/2018 
1312,1,14937,14789,9/12/2018 
1313,1,14909,14761,9/10/2018 
1314,1,14958,14810,9/7/2018 
1315,1,14965,14817,9/6/2018 
1316,1,15002,14852,9/5/2018 
1317,1,14914,14766,9/4/2018 
1318,1,14841,14693,9/3/2018 
1319,1,14785,14637,8/31/2018 
1320,1,14728,14582,8/30/2018 
1321,1,14716,14570,8/29/2018 
1322,1,14687,14541,8/28/2018 
1323,1,14683,14537,8/27/2018 
1324,1,14728,14582,8/24/2018 
1325,1,14693,14547,8/23/2018 
1326,1,14641,14495,8/21/2018 
1327,1,14651,14505,8/20/2018 
1328,1,14692,14546,8/16/2018 
1329,1,14694,14548,8/15/2018 
1330,1,14698,14552,8/14/2018 
1331,1,14656,14510,8/13/2018 
1332,1,14509,14365,8/10/2018 
1333,1,14494,14350,8/9/2018 
1334,1,14511,14367,8/8/2018 
1335,1,14557,14413,8/7/2018 
1336,1,14553,14409,8/6/2018 
1337,1,14576,14430,8/3/2018 
1338,1,14518,14374,8/2/2018 
1339,1,14514,14370,8/1/2018 
1340,1,14485,14341,7/31/2018 
1341,1,14481,14337,7/30/2018 
1342,1,14555,14411,7/27/2018 
1343,1,14515,14371,7/26/2018 
1344,1,14588,14442,7/25/2018 
1345,1,14614,14468,7/24/2018 
1346,1,14526,14382,7/23/2018 
1347,1,14593,14447,7/20/2018 
1348,1,14490,14346,7/19/2018 
1349,1,14478,14334,7/18/2018 
1350,1,14463,14319,7/17/2018 
1351,1,14468,14324,7/16/2018 
1352,1,14430,14286,7/13/2018 
1353,1,14507,14363,7/12/2018 
1354,1,14463,14319,7/11/2018 
1355,1,14398,14254,7/10/2018 
1356,1,14404,14260,7/9/2018 
1357,1,14481,14337,7/6/2018 
1358,1,14459,14315,7/5/2018 
1359,1,14415,14271,7/4/2018 
1360,1,14490,14346,7/3/2018 
1361,1,14403,14259,7/2/2018 
1362,1,14476,14332,6/29/2018 
1363,1,14342,14200,6/28/2018 
1364,1,14234,14092,6/27/2018 
1365,1,14234,14092,6/26/2018 
1366,1,14176,14034,6/25/2018 
1367,1,14173,14031,6/22/2018 
1368,1,14160,14020,6/21/2018 
1369,1,13972,13832,6/20/2018 
1370,1,13972,13832,6/19/2018 
1371,1,13972,13832,6/8/2018 
1372,1,13937,13799,6/7/2018 
1373,1,13944,13806,6/6/2018 
1374,1,13956,13818,6/5/2018 
1375,1,13941,13803,6/4/2018 
1376,1,14021,13881,5/31/2018 
1377,1,14102,13962,5/30/2018 
1378,1,14135,13995,5/28/2018 
1379,1,14237,14095,5/25/2018 
1380,1,14276,14134,5/24/2018 
1381,1,14263,14121,5/23/2018 
1382,1,14249,14107,5/22/2018 
1383,1,14247,14105,5/21/2018 
1384,1,14178,14036,5/18/2018 
1385,1,14144,14004,5/17/2018 
1386,1,14164,14024,5/16/2018 
1387,1,14090,13950,5/15/2018 
1388,1,14046,13906,5/14/2018 
1389,1,14118,13978,5/11/2018 
1390,1,14144,14004,5/9/2018 
1391,1,14106,13966,5/8/2018 
1392,1,14026,13886,5/7/2018 
1393,1,14013,13873,5/4/2018 
1394,1,14035,13895,5/3/2018 
1395,1,14006,13866,5/2/2018 
1396,1,13946,13808,4/30/2018 
1397,1,13948,13810,4/27/2018 
1398,1,14000,13860,4/26/2018 
1399,1,13957,13819,4/25/2018 
1400,1,13970,13830,4/24/2018 
1401,1,13963,13825,4/23/2018 
1402,1,13873,13735,4/20/2018 
1403,1,13847,13709,4/19/2018 
1404,1,13839,13701,4/18/2018 
1405,1,13839,13701,4/17/2018 
1406,1,13835,13697,4/16/2018 
1407,1,13822,13684,4/13/2018 
1408,1,13832,13694,4/12/2018 
1409,1,13816,13678,4/11/2018 
1410,1,13828,13690,4/10/2018 
1411,1,13840,13702,4/9/2018 
1412,1,13840,13702,4/6/2018 
1413,1,13836,13698,4/5/2018 
1414,1,13829,13691,4/4/2018 
1415,1,13834,13696,4/3/2018 
1416,1,13819,13681,4/2/2018 
1417,1,13825,13687,3/29/2018 
1418,1,13814,13676,3/28/2018 
1419,1,13777,13639,3/27/2018 
1420,1,13845,13707,3/26/2018 
1421,1,13849,13711,3/23/2018 
1422,1,13806,13668,3/22/2018 
1423,1,13828,13690,3/21/2018 
1424,1,13830,13692,3/20/2018 
1425,1,13834,13696,3/19/2018 
1426,1,13834,13696,3/16/2018 
1427,1,13817,13679,3/15/2018 
1428,1,13808,13670,3/14/2018 
1429,1,13826,13688,3/13/2018 
1430,1,13837,13699,3/12/2018 
1431,1,13863,13725,3/9/2018 
1432,1,13843,13705,3/8/2018 
1433,1,13832,13694,3/7/2018 
1434,1,13819,13681,3/6/2018 
1435,1,13809,13671,3/5/2018 
1436,1,13815,13677,3/2/2018 
1437,1,13862,13724,3/1/2018 
1438,1,13776,13638,2/28/2018 
1439,1,13718,13582,2/27/2018 
1440,1,13727,13591,2/26/2018 
1441,1,13738,13602,2/23/2018 
1442,1,13733,13597,2/22/2018 
1443,1,13650,13514,2/21/2018 
1444,1,13641,13505,2/20/2018 
1445,1,13609,13473,2/19/2018 
1446,1,13638,13502,2/15/2018 
1447,1,13725,13589,2/14/2018 
1448,1,13712,13576,2/13/2018 
1449,1,13677,13541,2/12/2018 
1450,1,13711,13575,2/9/2018 
1451,1,13670,13534,2/8/2018 
1452,1,13601,13465,2/7/2018 
1453,1,13646,13510,2/6/2018 
1454,1,13565,13431,2/5/2018 
1455,1,13495,13361,2/2/2018 
1456,1,13469,13335,2/1/2018 
1457,1,13480,13346,1/31/2018 
1458,1,13465,13331,1/30/2018 
1459,1,13394,13260,1/29/2018 
1460,1,13370,13236,1/26/2018 
1461,1,13356,13224,1/25/2018 
1462,1,13388,13254,1/24/2018 
1463,1,13385,13251,1/23/2018 
1464,1,13401,13267,1/22/2018 
1465,1,13398,13264,1/19/2018 
1466,1,13432,13298,1/18/2018 
1467,1,13390,13256,1/17/2018 
1468,1,13400,13266,1/16/2018 
1469,1,13397,13263,1/15/2018 
1470,1,13429,13295,1/12/2018 
1471,1,13494,13360,1/11/2018 
1472,1,13516,13382,1/10/2018 
1473,1,13495,13361,1/9/2018 
1474,1,13464,13330,1/8/2018 
1475,1,13472,13338,1/5/2018 
1476,1,13541,13407,1/4/2018 
1477,1,13565,13431,1/3/2018 
1478,1,13610,13474,1/2/2018 
1479,1,13616,13480,12/30/2017 
1480,1,13616,13480,12/29/2017 
1481,1,13628,13492,12/28/2017 
1482,1,13630,13494,12/27/2017 
1483,1,13626,13490,12/22/2017 
1484,1,13613,13477,12/21/2017 
1485,1,13647,13511,12/20/2017 
1486,1,13655,13519,12/19/2017 
1487,1,13652,13516,12/18/2017 
1488,1,13641,13505,12/15/2017 
1489,1,13633,13497,12/14/2017 
1490,1,13657,13521,12/13/2017 
1491,1,13618,13482,12/12/2017 
1492,1,13614,13478,12/11/2017 
1493,1,13624,13488,12/8/2017 
1494,1,13620,13484,12/7/2017 
1495,1,13592,13456,12/6/2017 
1496,1,13583,13447,12/5/2017 
1497,1,13595,13459,12/4/2017 
1498,1,13582,13446,11/30/2017 
1499,1,13583,13447,11/29/2017 
1500,1,13595,13459,11/28/2017 
1501,1,13579,13443,11/27/2017 
1502,1,13574,13438,11/24/2017 
1503,1,13571,13435,11/23/2017 
1504,1,13591,13455,11/22/2017 
1505,1,13612,13476,11/21/2017 
1506,1,13597,13461,11/20/2017 
1507,1,13585,13449,11/17/2017 
1508,1,13606,13470,11/16/2017 
1509,1,13607,13471,11/15/2017 
1510,1,13610,13474,11/14/2017 
1511,1,13623,13487,11/13/2017 
1512,1,13582,13446,11/10/2017 
1513,1,13582,13446,11/9/2017 
1514,1,13592,13456,11/8/2017 
1515,1,13572,13436,11/7/2017 
1516,1,13597,13461,11/6/2017 
1517,1,13568,13432,11/3/2017 
1518,1,13630,13494,11/2/2017 
1519,1,13660,13524,11/1/2017 
1520,1,13640,13504,10/31/2017 
1521,1,13648,13512,10/30/2017 
